国内频道,#genre#
CCTV16,http://111.29.9.37:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=bestzb&Contentid=5000000008000023254
CCTV-风云剧场,http://60.10.167.88:808/hls/57/index.m3u8
CCTV-风云足球,http://60.10.167.88:808/hls/55/index.m3u8
CCTV-怀旧剧场,http://60.10.167.88:808/hls/56/index.m3u8
CCTV-卫生健康,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
安徽导视,http://agsj.appcoo.com:8000/agsj/test/index.m3u8?zanhd
安顺新闻频道,https://player.juyun.tv/camera/64413134.m3u8
巴东综合,http://badong-live21.cjyun.org/10095/s10095-bdtv1.m3u8?auth_key=1672502399-0-0-fd35f4e44c5974d838a03d4165643e7d
宝坻一套,https://hb2stream1.baoxinwen.com/d6387fc7a8836e78/6385068498053235715_1597997122.m3u8?auth_key=1893456000-0-0-93ea48b07ddd03f4904079b7659e81a4
宝兴综合,http://flv.drs.tv.yatv.tv:8080/channellive/baoxingxian.flv?zsicd
宝兴综合频道,http://flv.drs.tv.yatv.tv:8080/channellive/baoxingxian.flv
保靖时政频道,http://liveplay.rednet.cn/live/baojing_hgs24f.m3u8
保靖时政频道,http://liveplay.rednet.cn/live/baojing_hgs24f.m3u8?zhund
北海经济科教,https://cdn.gdlive.gdmain.com/live/lnyxz495.m3u8?zguangxd
北海新闻综合,https://cdn.gdlive.gdmain.com/live/lg36zk25.m3u8?zguangxd
宾阳综合,https://cdn.gdlive.gdmain.com/live/5zzby3v5.m3u8?zguangxd
宾阳综合,https://live-cdn.gxxw.com/gx/binyang/index.m3u8
岑溪综合,https://cdn.gdlive.gdmain.com/live/02kzy3y0.m3u8?zguangxd
茶陵新闻综合,http://liveplay.rednet.cn/live/chaling_tv.m3u8?zhund
茶陵综合频道,http://liveplay.rednet.cn/live/chaling_tv.m3u8
赤壁一套,http://chibi-live21.cjyun.org/10138/s10138-CBTV1.m3u8?auth_key=1672502399-0-0-7c31a89b27ffafb24fdc5e16d4762860
大悟综合频道,http://yunshangdawu-live21.cjyun.org/10129/s10129-dwzhpd.m3u8?auth_key=1672502399-0-0-47035cb52f73fd4cee6266876ab7aa19
大冶二套,http://dayeyun-live21.cjyun.org/10102/s10102-TC2T.m3u8?auth_key=1672502399-0-0-82feca5525323bbfcd40ecd186084ca9
大冶一套,http://dayeyun-live21.cjyun.org/10102/s10102-TC1T.m3u8?auth_key=1672502399-0-0-f426faae014df67e43edf64fdfc442e4
当涂新闻综合,http://newvideo.dangtutv.cn:8278/dt1/playlist.m3u8
当涂新闻综合,http://newvideo.dangtutv.cn:8278/dt1/playlist.m3u8?zanhd
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream_360p/playlist.m3u8?zguangd
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream_360p/playlist.m3u8?zguangd
都安综合,https://live-cdn.gxxw.com/gx/duan/index.m3u8
都安综合,https://live-cdn.gxxw.com/gx/duan/index.m3u8?zguangxd
凤台文化生活,http://60.175.115.119:1935/live/wenhua/playlist.m3u8?zanhd
凤台综合,http://60.175.115.119:1935/live/zonghe/playlist.m3u8?zanhd
福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8?zfud
福州影院,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8?zfud
福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8?zfud
阜南新闻综合,http://112.27.139.242:8278/fnxwzhd/playlist.m3u8?zanhd
古县综合,https://l2fpdktp.live.sxmty.com/live/hls/e4c3b363cc4549788e2d983f403e07db/d99ce1eb686e41b9afc888110bd95aa7.m3u8?zshanxd
